Date,Time,Open,High,Low,Close,Volume
2023.01.03,17:00,1.20294,1.20366,1.20151,1.20209,2944
2023.01.03,17:15,1.20211,1.20274,1.2006,1.20093,2311
2023.01.03,17:30,1.20089,1.20301,1.20028,1.202,2551
2023.01.03,17:45,1.20199,1.20351,1.20029,1.20084,3049
2023.01.03,18:00,1.20086,1.20111,1.19879,1.19902,2788
2023.01.03,18:15,1.19902,1.1991,1.19779,1.1986,1969
2023.01.03,18:30,1.19861,1.19861,1.19602,1.19654,2363
2023.01.03,18:45,1.19654,1.19712,1.19556,1.19681,2310
2023.01.03,19:00,1.1968,1.19775,1.19649,1.19738,1337
2023.01.03,19:15,1.19739,1.19789,1.19577,1.19585,1497
2023.01.03,19:30,1.19583,1.19687,1.19545,1.19635,1058
2023.01.03,19:45,1.19637,1.19639,1.19523,1.19636,884
2023.01.03,20:00,1.19632,1.19738,1.19615,1.19709,1129
2023.01.03,20:15,1.19704,1.19873,1.19682,1.19866,747
2023.01.03,20:30,1.19864,1.19868,1.19742,1.19821,1369
2023.01.03,20:45,1.19822,1.19836,1.19768,1.1979,881
2023.01.03,21:00,1.19792,1.19814,1.19771,1.19796,796
2023.01.03,21:15,1.19796,1.1982,1.19745,1.19799,731
2023.01.03,21:30,1.19799,1.19819,1.19736,1.1981,686
2023.01.03,21:45,1.19812,1.19846,1.19791,1.19832,1646
2023.01.03,22:00,1.19837,1.19889,1.19835,1.19883,1533
2023.01.03,22:15,1.19883,1.19908,1.19727,1.19784,1308
2023.01.03,22:30,1.19781,1.19832,1.19737,1.19739,729
2023.01.03,22:45,1.1974,1.19788,1.19698,1.19724,1147
2023.01.03,23:00,1.19724,1.19729,1.19667,1.19678,699
2023.01.03,23:15,1.19679,1.19713,1.19655,1.19667,529
2023.01.03,23:30,1.19666,1.19689,1.19654,1.19654,249
2023.01.03,23:45,1.19654,1.19671,1.19644,1.1965,680
2023.01.04,00:00,1.19653,1.19653,1.19597,1.19597,10
2023.01.04,00:15,1.19593,1.19636,1.19589,1.19636,9
2023.01.04,00:30,1.19632,1.19649,1.19609,1.19609,373
